Model,Latency (ms),Throughput (tokens/sec),ROUGE-1,ROUGE-2,ROUGE-L,BLEU Score,CHRF Score,Unique n-grams,Entropy,Repeated n-grams (%),Coherence (Cosine Similarity),Precision,variant_id
INT4gemma-2-2b-it,4597.316265106201,7.395619104576564,0.2608695652173913,0.1904761904761905,0.2608695652173913,0.1700107809840422,0.2500253190521059,0.9523809523809524,4.297079327540666,0.0,0.0,FP16,INT4gemma-2-2b-it (FP16)
INT4gemma-2-9b-it,17309.56268310547,2.19531831599009,0.2222222222222222,0.16,0.2222222222222222,0.1410002457876886,0.2132146596084166,0.96,4.563856189774725,0.0,0.0,FP16,INT4gemma-2-9b-it (FP16)
DeepSeek-R1-Distill-Qwen-1.5B,7178.572654724121,18.666663478263526,0.1071428571428571,0.074074074074074,0.1071428571428571,0.044431190770437,0.1754181139562548,0.4605263157894737,3.3648696472465875,0.0,0.0,INT8,DeepSeek-R1-Distill-Qwen-1.5B (INT8)
DeepSeek-R1-Distill-Qwen-7B,28169.971466064453,4.7568383291202805,0.0533333333333333,0.0273972602739726,0.0533333333333333,0.0281985780425047,0.0521352639296188,0.875,5.495191026294642,0.0,0.0,INT8,DeepSeek-R1-Distill-Qwen-7B (INT8)
DeepSeek-R1-Distill-Llama-8B,30186.90395355225,4.439011042874158,0.0571428571428571,0.0388349514563106,0.0571428571428571,0.0326103619335701,0.0545468313853791,0.9514563106796116,5.94606691061535,0.0,0.0,INT8,DeepSeek-R1-Distill-Llama-8B (INT8)
qwen2.5-0.5b-instruct,3331.8166732788086,39.91816268483824,0.12,0.0833333333333333,0.12,0.0462958833616494,0.1430715003470425,0.6027397260273972,4.21341454552611,0.0,0.0,INT8,qwen2.5-0.5b-instruct (INT8)
qwen2.5-1.5b-instruct,7612.307071685791,17.471707164139183,0.0625,0.0425531914893616,0.0625,0.0336036970226911,0.0549065053729651,0.99,6.320210910008724,0.0,0.0,INT8,qwen2.5-1.5b-instruct (INT8)
qwen2.5-3b-instruct,3270.3778743743896,9.479026947590937,0.25,0.1428571428571428,0.25,0.1431712315455507,0.1966961537034976,0.8823529411764706,3.734521664779752,0.0,0.0,INT8,qwen2.5-3b-instruct (INT8)
qwen2.5-7b-instruct,6035.790205001831,3.9762813459141295,0.4615384615384615,0.3636363636363636,0.4615384615384615,0.23462350320528,0.361494279141338,0.9090909090909092,3.277613436819116,0.0,0.0,INT8,qwen2.5-7b-instruct (INT8)
tiny-llama-1b-chat,4178.080081939697,27.285259680105234,0.1538461538461538,0.1081081081081081,0.1538461538461538,0.0547159715265612,0.2060956629814508,0.9838709677419356,4.12640094696023,0.0,0.0,INT8,tiny-llama-1b-chat (INT8)
llama-3.2-1b-instruct,5606.716871261597,23.899904895652053,0.0363636363636363,0.0185185185185185,0.0363636363636363,0.0083427598473021,0.0342377562500076,0.9065420560747663,5.911616635751882,0.0,0.0,INT8,llama-3.2-1b-instruct (INT8)
llama-3.2-3b-instruct,7577.43239402771,10.029782655652694,0.1304347826086956,0.0909090909090909,0.1304347826086956,0.0711980257610463,0.1244628683085858,0.875,4.800556574587755,0.0,0.0,INT8,llama-3.2-3b-instruct (INT8)
zephyr-7b-beta,28617.65480041504,4.717367685839935,0.0612244897959183,0.0416666666666666,0.0612244897959183,0.023674033167752,0.0579643229922416,0.9157894736842104,5.6351820554944085,0.0,0.0,INT8,zephyr-7b-beta (INT8)
gemma-2b-it,1450.643539428711,13.09763527949984,0.4,0.25,0.4,0.2984745896009823,0.3343084049605789,0.8888888888888888,2.725480556997868,0.0,0.0,INT8,gemma-2b-it (INT8)
gemma-2-2b-it,2728.304147720337,12.461953711579062,0.2608695652173913,0.1904761904761905,0.2608695652173913,0.1700107809840422,0.2500253190521059,0.9523809523809524,4.297079327540666,0.0,0.0,INT8,gemma-2-2b-it (INT8)
gemma-2-9b-it,16624.333143234253,2.8873338609395574,0.1666666666666666,0.1176470588235294,0.1666666666666666,0.1018988257220787,0.1596167019950334,0.9705882352941176,4.85216872360328,0.0,0.0,INT8,gemma-2-9b-it (INT8)
